nhdhr_id,geometry,Depth_avg,area
nhdhr_82819488,-85.855792;43.533851,3.0,538992.107869148
nhdhr_86275565,-95.8238009999999;46.7539600000001,3.0,1089510.52489372
nhdhr_70333891,-89.546173;45.7704420000001,5.6,2689150.0
nhdhr_91691877,-92.882313;44.9818320000001,4.5,1039309.03887833
nhdhr_34127862,-93.431023;45.042919,3.2,180738.235557329
nhdhr_91595755,-93.142434;44.7870820000001,4.1,152672.418520027
nhdhr_120019636,-94.642708;45.363636,7.3,5887154.94078691
nhdhr_120018055,-93.120601;45.0701990000001,4.7,598046.458632438
nhdhr_155444215,-88.974195;43.7348230000001,6.2,1872542.37205316
nhdhr_121623004,-88.436345;42.8486140000001,4.1,1130771.51159911
nhdhr_120020212,-93.3805379999999;44.8312500000001,4.5,735167.549158579
nhdhr_120018027,-93.239692;45.1233060000001,2.5,267606.384131463
nhdhr_129225129,-85.855334;44.7118590000001,5.9,2026459.13905306
nhdhr_34132376,-93.485506;44.952972,6.7,672510.204645411
nhdhr_129226232,-85.710211;44.9770830000001,7.1,34864267.3251789
nhdhr_69886156,-89.643295;46.027614,6.6,1642398.13646513
nhdhr_120020373,-92.7914729999999;45.1175450000001,5.0,552896.112610703
nhdhr_69546677,-92.122199;45.8987940000001,4.1,650966.582755595
nhdhr_120018510,-95.8947919999999;46.7322790000001,5.3,7490762.95013932
nhdhr_120020211,-93.802287;44.8512950000001,3.2,391335.508730689
nhdhr_120019850,-94.215199;45.3129740000001,5.8,1379898.08031868
nhdhr_120019661,-94.8691679999999;45.2649720000001,7.1,22503171.6792276
nhdhr_166867846,-94.112119;46.6701350000001,4.5,13904773.645929
nhdhr_91682839,-92.499769;45.3984750000001,7.7,3178344.36552644
nhdhr_69546231,-92.1407599999999;45.940795,5.4,3108557.57091528
nhdhr_47478911,-91.873948;46.1998760000001,6.6,3456390.0
nhdhr_91686475,-92.880172;45.260113,2.2,237680.643205345
nhdhr_120020307,-92.8184909999999;45.3882860000001,4.5,3363299.56349425
nhdhr_45730422,-94.257381;45.276734,3.3,331051.064174817
nhdhr_91692157,-92.899454;44.9369580000001,2.0,183684.481701426
nhdhr_121623301,-88.561679;42.768181,7.1,2954956.23746817
nhdhr_120020207,-93.409691;44.8528600000001,3.9,720332.772694016
nhdhr_120019638,-94.69375;45.315641,7.8,11971128.8212438
nhdhr_120018032,-93.025972;45.114474,3.6,4235558.41669399
nhdhr_91690625,-92.851345;45.0522580000001,3.5,406346.828943852
nhdhr_91681839,-92.316837;45.4496980000001,4.1,595212.117072836
nhdhr_120020359,-92.892708;45.184082,2.3,177986.789382637
nhdhr_120020210,-93.471875;44.8479290000001,3.6,392195.761578114
nhdhr_121623808,-88.2144729999999;42.5641420000001,3.0,345128.570394337
nhdhr_155442361,-89.224548;44.0647920000001,4.1,1329552.49223705
nhdhr_34130157,-93.007284;44.9703670000001,3.4,335186.537566006
nhdhr_155444180,-89.637851;43.7755970000001,4.2,229115.934408007
nhdhr_34133487,-93.6784249999999;44.8674570000001,3.7,584315.924368188
nhdhr_69885902,-89.739233;46.065209,3.4,1466650.80408496
